ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
0.18000001,52764,0.49000001,0.65899998,1,0.75,0.75099999
NA,NA,NA,NA,NA,NA,0.67400002
0.13,61151,0.55000001,0.50300002,1,0.69,0.54000002
0.12,64680,0.52999997,0.56,1,0.94999999,0.62300003
0.090000004,60407,0.56,0.50800002,1,0.94999999,0.64200002
0.17,58401,0.64999998,0.35499999,0,0.70999998,-0.389
0.17,55895,0.54000002,0.67900002,1,0.72000003,0.44600001
0.090000004,69826,0.51999998,0.514,1,0.82999998,0.38600001
0.12,64226,0.47,0.713,1,0.81,0.38499999
0.050000001,87936,0.44999999,0.66399997,1,0.86000001,0.94300002
0.12,66675,0.60000002,0.44400001,0,0.62,-0.57300001
0.059999999,90093,0.50999999,0.59399998,1,0.79000002,0.63300002
0.22,59702,0.63,0.36500001,0,0.54000002,-0.403
0.13,63611,0.61000001,0.384,0,0.61000001,-0.35800001
0.25,45093,0.87,0.131,0,0.20999999,-0.57700002
NA,NA,NA,NA,NA,NA,-0.41999999
0.029999999,97009,0.44999999,0.68800002,1,0.82999998,0.62400001
0.07,86638,0.57999998,0.46399999,0,0.72000003,-0.51599997
0.27000001,48967,0.75,0.237,0,0.31999999,-0.37900001
0.23999999,44265,0.60000002,0.48100001,0,0.49000001,-0.26199999
0.30000001,35951,0.49000001,0.55400002,1,0.44,0.65799999
0.22,44174,0.61000001,0.43000001,0,0.41,-0.34599999
0.079999998,81221,0.51999998,0.498,0,0.83999997,-0.303
0.059999999,89368,0.56,0.43200001,0,0.70999998,-0.35100001
0.050000001,87490,0.47,0.71899998,1,0.87,0.514
0.1,82490,0.57999998,0.46399999,0,0.62,-0.28400001
0.12,60343,0.63,0.36500001,0,0.44,-0.36300001
0.17,54759,0.88999999,0.122,0,0.13,-0.34
0.25,46056,0.79000002,0.185,0,0.28,-0.412
0.25999999,64316,0.74000001,0.245,0,0.69,-0.48199999
0.12,54809,0.55000001,0.39199999,0,0.63999999,-0.41
NA,NA,NA,NA,NA,NA,0.43200001
0.37,38693,0.91000003,0.071999997,0,0.16,-0.47099999
0.28,43736,0.91000003,0.093999997,0,0.20999999,-0.58600003
0.36000001,39663,0.86000001,0,0,0.23,-0.53399998
0.15000001,60137,0.49000001,0.51700002,1,0.70999998,0.41800001
0.1,78843,0.77999997,0.23,0,0.66000003,-0.38800001
0.36000001,37216,0.93000001,0.114,0,0.16,-0.42300001
0.49000001,23291,0.94999999,0.043000001,0,0.029999999,-0.50099999
0.25,53443,0.72000003,0.23800001,0,0.41,-0.331
0.12,84423,0.62,0.37799999,0,0.67000002,-0.33500001
0.12,79561,0.50999999,0.52700001,1,0.82999998,0.57999998
0.12,55914,0.50999999,0.54900002,1,0.93000001,0.56099999
0.16,50214,0.57999998,0.40700001,0,0.86000001,-0.419
0.2,48427,0.58999997,0.47299999,0,0.80000001,-0.58200002
0.20999999,44222,0.51999998,0.49399999,0,0.93000001,-0.178
0.19,44159,0.50999999,0.53100002,1,0.92000002,0.56999999
0.17,50885,0.56,0.50199997,1,0.87,0.72899997
0.11,54645,0.46000001,0.736,1,0.92000002,NA
NA,NA,NA,NA,NA,NA,-0.223
0.23999999,42504,0.54000002,0.391,0,0.88999999,-0.31799999
0.31999999,37280,0.69,0.35100001,0,0.62,-0.58499998
0.15000001,48528,0.47999999,0.56599998,1,0.93000001,0.61699998
0.37,30441,0.62,0.40700001,0,0.44,-0.37
0.23999999,41044,0.51999998,0.50400001,1,0.58999997,0.57099998
0.2,45999,0.38,0.736,1,0.75999999,0.107
0.13,62661,0.63,0.428,0,0.69,-0.412
